Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","192","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2018","2018","Kcal/personne/jour","547","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2019","2019","Kcal/personne/jour","554","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","34.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","34.93","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2018","2018","g/personne/jour","39.21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2941","Produits Animaux","2019","2019","g/personne/jour","39.93","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2109","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2059","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","37.82","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","37.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","37.52","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","36.65","E","Valeur estimée"
