Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","1730","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","29.39","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","28.4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","41.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","41.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2865","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2855","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","54.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","54.47","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","75.88","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","73.6","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2262","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2290","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","38.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","44.98","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","45.07","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","49.93","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2322","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2395","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","52.39","E","Valeur estimée"
